,pM,pML_1,pML_2,pML_3,pML_4,pML_5,pML_6,pML_7,pML_8,pML_9,pML_10,pUL_1,pUL_2,pUL_3,pUL_4,pUL_5,pUL_6,pUL_7,pUL_8,pUL_9,pUL_10,llh
0,0.6251120195208779,0.09194305784523217,0.3619424934939548,0.4733818480730569,0.36445138236354563,0.3197996126264677,0.3721383463113311,0.2656952875938558,0.4486704753515808,0.19625750531014025,0.556138058237972,0.5420104880957013,0.5447311938965825,0.4645016345829245,0.30060068318850425,0.44223245790164206,0.45363328823971566,0.5127214396075401,0.41599979312094204,0.44835741473257773,0.45080213225152066,-38.34707301888915
1,0.6516359960978252,0.5746696302035005,0.47871543275334993,0.42898175159892404,0.018945517513788413,0.15587865959018973,0.1363126644957826,0.2708368011533253,0.5871816086732357,0.9889159420419006,0.6679146731348329,0.43856971699224634,0.4633180024441518,0.45731845590233516,0.3907968433291729,0.48943576283405105,0.4949621998493161,0.44900057708018976,0.4664043979567438,0.4361829877905057,0.4907812635921076,-37.39427243843876
2,0.42099680710509835,0.2588734692986838,0.3515599398357545,0.6438970945317173,0.20340297065912083,0.5439868038154316,0.24515216568811024,0.38578618679117666,0.7142841239828844,0.27360025526093185,0.4312081446720795,0.4123893427094099,0.4753197295146569,0.3964049360328138,0.43859127625089833,0.5405193118083471,0.41100563710758437,0.5183163683963431,0.3758744980998021,0.3638998868396951,0.44893418142802416,-47.90803685976611
3,0.7235246264596132,0.5452386240211808,0.30300549817749733,0.14986355433633694,0.23151417180569248,0.1389644600998368,0.6093497837093024,0.08099765138007294,0.27601219411475386,0.8199672113603285,0.5562115376859805,0.4052263207464267,0.5549695617223037,0.4442163445227576,0.39835982546312443,0.3826727544826001,0.49028988840394616,0.41512121468608254,0.4503573048422459,0.43512609069304947,0.41704500089218693,-49.144274540985286
4,0.47376417000202203,0.15337776896346061,0.4580695456559426,0.26003142706350274,0.35217086610601916,0.25564794135730595,0.5923254235133352,0.19111989465503298,0.47507165225314624,0.6672823089554518,0.38766082960406545,0.4850916143606823,0.4902453575297848,0.4560035278353923,0.42240766244477274,0.4722675831010571,0.5845178203992589,0.4876063536012973,0.440561408662658,0.4944650119568896,0.4275226205415456,-56.98297350423274
5,0.552698268006432,0.1543149280476304,0.7100480600312187,0.23370017248985542,0.11083353040859015,0.10928547651851099,0.42760568055580095,0.21450279140216313,0.23178747893169782,0.5860046281217139,0.7586592334929327,0.4789562590120724,0.49296201889786195,0.3892663403964231,0.39013462468976423,0.5432225050398625,0.5297654279686669,0.5324509831503699,0.42146717851776255,0.5143677962713306,0.46106075763791454,-59.30149463380947
6,0.734246877168041,0.279302139947878,0.4154153994780361,0.2954404137597284,0.3029059077716342,0.02764267346283216,0.6977814392745773,0.48585328871281047,0.16952070734419233,0.4643419359975591,0.2805615304475485,0.4502999923899711,0.43294923876177016,0.5056471590710709,0.39494039426586175,0.46454458675799815,0.5979824125486803,0.4729524414669711,0.42728604430787387,0.425231220168276,0.44003478142102526,-57.646086257625484
7,0.4655470040681695,0.3666090533221634,0.11123849830310148,0.09902151929191634,0.4420817155569121,0.4454393038580493,0.0765838634143324,0.7533862410017578,0.05907747941602053,0.6869441552520357,0.707672258773259,0.42255375108525833,0.5509801036241913,0.4845414712194329,0.4870610273453368,0.510879597334151,0.5611389919941222,0.40407024883199005,0.40475629961636045,0.4149890172447209,0.476178662070541,-58.54687241813633
8,0.7793876738531476,0.3627405353305316,0.5313039837157857,0.19338143289777135,0.3762621744058154,0.1829976355202869,0.4098703925772997,0.457442258338131,0.12482283130607263,0.5659326594919486,0.481209400505955,0.49713427197991705,0.4536075994183411,0.4638490907039396,0.3889777583530098,0.4950822539718154,0.45555148210309465,0.44320712068589657,0.33754290784001995,0.5106791231052933,0.34258723754448367,-59.14500810468572
9,0.5094877550346871,0.5085188394033224,0.7140975422832282,0.6755080864389764,0.3581105438801921,0.15720709061524227,0.37724485108076583,0.6195123581615585,0.3124683706928114,0.660853320990952,0.7185768641353438,0.46602182811299764,0.4781214279053156,0.494652711661612,0.45453819842388354,0.469993990171377,0.5069093913249678,0.38797929598470066,0.36206660989326855,0.5214867759968733,0.4506255191478308,-73.13009437928244
10,0.7491013026172975,0.3072376970758107,0.4445850958756924,0.4317382783806094,0.290716599940134,0.36762469789832253,0.4543320014156436,0.331021538902067,0.19384874816965847,0.7015219582449966,0.6843060646284891,0.46998216794252073,0.5411158791572649,0.4239708218129664,0.4200412916528511,0.38259750619722516,0.3959618820881099,0.4768667660118291,0.3592280695529731,0.47249752271930484,0.37523638317392516,-57.79714841606277
11,0.9002437151633008,0.13985240480930153,0.38326497209773297,0.4574894613338688,0.1628988473865192,0.40626829131906594,0.4059079768677016,0.26042142506263366,0.45667132985134395,0.5530960697596473,0.5277339520025177,0.398154904989434,0.4740919130855681,0.44536968756336626,0.4947935706600803,0.4064023200061409,0.46060994859542465,0.45756712262424376,0.39618207907758135,0.46390337652684316,0.44139146323130957,-61.30627420093401
